,email,result,details
331,liverpoolb-h.school@det.nsw.edu.au,The email address liverpoolb-h.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT019.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:11:33 +0000
HELO ip-adress.com
250 ME3AUS01FT019.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <liverpoolb-h.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
332,liverpool-h.school@det.nsw.edu.au,The email address liverpool-h.school@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT005.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:11:43 +0000
HELO ip-adress.com
250 ME3AUS01FT005.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <liverpool-h.school@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [ME3AUS01FT005.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
333,liverpool-p.school@det.nsw.edu.au,The email address liverpool-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT006.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:11:52 +0000
HELO ip-adress.com
250 ME3AUS01FT006.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <liverpool-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
334,office@living.school,The email address office@living.school is valid,"MX records:
aspmx.l.google.com (1)
alt1.aspmx.l.google.com (5)
alt2.aspmx.l.google.com (5)
alt3.aspmx.l.google.com (10)
alt4.aspmx.l.google.com (10)

connected to aspmx.l.google.com

dialog with aspmx.l.google.com ok

220 mx.google.com ESMTP 137si8444118wme.167 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK 137si8444118wme.167 - gsmtp
RCPT TO: <office@living.school>
250 2.1.5 OK 137si8444118wme.167 - gsmtp
QUIT
221 2.0.0 closing connection 137si8444118wme.167 - gsmtp"
335,llandilo-p.school@det.nsw.edu.au,The email address llandilo-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT023.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:12:09 +0000
HELO ip-adress.com
250 ME3AUS01FT023.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <llandilo-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
336,loftus-p.school@det.nsw.edu.au,The email address loftus-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT015.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:12:19 +0000
HELO ip-adress.com
250 ME3AUS01FT015.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <loftus-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
337,lomandra-s.school@det.nsw.edu.au,The email address lomandra-s.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT009.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:12:28 +0000
HELO ip-adress.com
250 ME3AUS01FT009.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <lomandra-s.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
338,lordhowe-c.school@det.nsw.edu.au,The email address lordhowe-c.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT010.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:12:38 +0000
HELO ip-adress.com
250 ME3AUS01FT010.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <lordhowe-c.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
339,reception@loretonh.nsw.edu.au,The email address reception@loretonh.nsw.edu.au is not valid,"MX records:
au-smtp-inbound-2.mimecast.com (10)
au-smtp-inbound-1.mimecast.com (10)
mx0.loretonh.nsw.edu.au (20)
mx1.loretonh.nsw.edu.au (20)

connected to au-smtp-inbound-2.mimecast.com

dialog with au-smtp-inbound-2.mimecast.com ok

220 au-smtp-1.mimecast.com ESMTP; Mon, 25 Oct 2021 18:12:48 +1100
HELO ip-adress.com
250 au-smtp-1.mimecast.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 Sender OK [6oVm0poCOPe72AznVyzE-Q.au24]
RCPT TO: <reception@loretonh.nsw.edu.au>
451 Internal resource temporarily unavailable - https://community.mimecast.com/docs/DOC-1369#451 [6oVm0poCOPe72AznVyzE-Q.au24]
QUIT
221 Service closing transmission channel [6oVm0poCOPe72AznVyzE-Q.au24]"
340,info@lorien.nsw.edu.au,The email address info@lorien.nsw.edu.au is valid,"MX records:
mail.lorien.nsw.edu.au (0)

connected to mail.lorien.nsw.edu.au

dialog with mail.lorien.nsw.edu.au ok

220-subcontract.colo.sol1.net ESMTP Postfix
220 subcontract.colo.sol1.net ESMTP Postfix
HELO ip-adress.com
250 subcontract.colo.sol1.net
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Ok
RCPT TO: <info@lorien.nsw.edu.au>
250 2.1.5 Ok
QUIT
221 2.0.0 Bye"
341,lowanna-p.school@det.nsw.edu.au,The email address lowanna-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT003.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:13:13 +0000
HELO ip-adress.com
250 SY4AUS01FT003.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <lowanna-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
342,lowesdale-p.school@det.nsw.edu.au,The email address lowesdale-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT024.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:13:21 +0000
HELO ip-adress.com
250 SY4AUS01FT024.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <lowesdale-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
343,lucasheigh-h.school@det.nsw.edu.au,The email address lucasheigh-h.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT022.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:13:32 +0000
HELO ip-adress.com
250 ME3AUS01FT022.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <lucasheigh-h.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
344,luddenham-p.school@det.nsw.edu.au,The email address luddenham-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT017.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:13:41 +0000
HELO ip-adress.com
250 ME3AUS01FT017.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <luddenham-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
345,lue-p.school@det.nsw.edu.au,The email address lue-p.school@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT003.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:13:50 +0000
HELO ip-adress.com
250 SY4AUS01FT003.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <lue-p.school@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [SY4AUS01FT003.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
346,lugarno-p.school@det.nsw.edu.au,The email address lugarno-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT011.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:13:59 +0000
HELO ip-adress.com
250 ME3AUS01FT011.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <lugarno-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
347,lccc@cg.catholic.edu.au,The email address lccc@cg.catholic.edu.au is valid,"MX records:
mxb-0028ea01.gslb.pphosted.com (5)
mxa-0028ea01.gslb.pphosted.com (5)

connected to mxb-0028ea01.gslb.pphosted.com

dialog with mxb-0028ea01.gslb.pphosted.com ok

220 mx0b-0028ea01.pphosted.com ESMTP pe-m0113156
HELO ip-adress.com
250 mx0b-0028ea01.pphosted.com Hello walnut.pi.activeminds.net [209.126.124.166], pleased to meet you
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender ok
RCPT TO: <lccc@cg.catholic.edu.au>
250 2.1.5 Recipient ok
QUIT
221 2.0.0 mx0b-0028ea01.pphosted.com Closing connection"
348,lurnea-p.school@det.nsw.edu.au,The email address lurnea-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT023.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:14:17 +0000
HELO ip-adress.com
250 ME3AUS01FT023.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <lurnea-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
349,admin@lpsww.nsw.edu.au,The email address admin@lpsww.nsw.edu.au is valid,"MX records:
relay-filter.westnet.com.au (10)

connected to relay-filter.westnet.com.au

dialog with relay-filter.westnet.com.au ok

220 relay-mail02.westnet.com.au ESMTP
HELO ip-adress.com
250 relay-mail02.westnet.com.au
MAIL FROM: <noreply@ip-adress.com>
250 sender <noreply@ip-adress.com> ok
RCPT TO: <admin@lpsww.nsw.edu.au>
250 recipient <admin@lpsww.nsw.edu.au> ok
QUIT
221 relay-mail02.westnet.com.au"
350,communication@condorcet.com.au,The email address communication@condorcet.com.au is valid,"MX records:
ASPMX.L.GOOGLE.COM (1)
ALT1.ASPMX.L.GOOGLE.COM (5)
ALT2.ASPMX.L.GOOGLE.COM (5)
ALT3.ASPMX.L.GOOGLE.COM (10)
ALT4.ASPMX.L.GOOGLE.COM (10)

connected to ASPMX.L.GOOGLE.COM

dialog with ASPMX.L.GOOGLE.COM ok

220 mx.google.com ESMTP o7si36645099wrc.125 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK o7si36645099wrc.125 - gsmtp
RCPT TO: <communication@condorcet.com.au>
250 2.1.5 OK o7si36645099wrc.125 - gsmtp
QUIT
221 2.0.0 closing connection o7si36645099wrc.125 - gsmtp"
351,lynwoodpk-p.school@det.nsw.edu.au,The email address lynwoodpk-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT015.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:14:48 +0000
HELO ip-adress.com
250 SY4AUS01FT015.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <lynwoodpk-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
352,reception@macarthur.adventist.edu.au,The email address reception@macarthur.adventist.edu.au is valid,"MX records:
macarthur-adventist-edu-au.mail.protection.outlook.com (10)

connected to macarthur-adventist-edu-au.mail.protection.outlook.com

dialog with macarthur-adventist-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT023.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:14:56 +0000
HELO ip-adress.com
250 ME3AUS01FT023.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <reception@macarthur.adventist.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
353,administration@macarthur.nsw.edu.au,The email address administration@macarthur.nsw.edu.au is valid,"MX records:
aspmx.l.google.com (1)
alt2.aspmx.l.google.com (5)
alt1.aspmx.l.google.com (5)
alt4.aspmx.l.google.com (10)
alt3.aspmx.l.google.com (10)

connected to aspmx.l.google.com

dialog with aspmx.l.google.com ok

220 mx.google.com ESMTP n10si13048835oig.15 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK n10si13048835oig.15 - gsmtp
RCPT TO: <administration@macarthur.nsw.edu.au>
250 2.1.5 OK n10si13048835oig.15 - gsmtp
QUIT
221 2.0.0 closing connection n10si13048835oig.15 - gsmtp"
354,macarthurg-h.school@det.nsw.edu.au,The email address macarthurg-h.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT013.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:15:15 +0000
HELO ip-adress.com
250 ME3AUS01FT013.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <macarthurg-h.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
355,smccw@dbb.catholic.edu.au,The email address smccw@dbb.catholic.edu.au is valid,"MX records:
dbb-catholic-edu-au.mail.protection.outlook.com (10)
mail2.dbb.catholic.edu.au (99)
mail1.dbb.catholic.edu.au (99)
mail.dbb.catholic.edu.au (99)

connected to dbb-catholic-edu-au.mail.protection.outlook.com

dialog with dbb-catholic-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT022.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:15:24 +0000
HELO ip-adress.com
250 ME3AUS01FT022.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <smccw@dbb.catholic.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
356,mackillop@bth.catholic.edu.au,The email address mackillop@bth.catholic.edu.au is valid,"MX records:
aspmx.l.google.com (1)
alt1.aspmx.l.google.com (5)
alt2.aspmx.l.google.com (5)

connected to aspmx.l.google.com

dialog with aspmx.l.google.com ok

220 mx.google.com ESMTP r83si15234750oie.191 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK r83si15234750oie.191 - gsmtp
RCPT TO: <mackillop@bth.catholic.edu.au>
250 2.1.5 OK r83si15234750oie.191 - gsmtp
QUIT
221 2.0.0 closing connection r83si15234750oie.191 - gsmtp"
357,Denise.Alchin1@det.nsw.edu.au,The email address Denise.Alchin1@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT016.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:15:42 +0000
HELO ip-adress.com
250 ME3AUS01FT016.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <Denise.Alchin1@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
358,macksville-p.school@det.nsw.edu.au,The email address macksville-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT012.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:15:51 +0000
HELO ip-adress.com
250 SY4AUS01FT012.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <macksville-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
359,maclean-h.school@det.nsw.edu.au,The email address maclean-h.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT012.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:15:59 +0000
HELO ip-adress.com
250 ME3AUS01FT012.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <maclean-h.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
360,maclean-p.school@det.nsw.edu.au,The email address maclean-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT004.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:16:08 +0000
HELO ip-adress.com
250 ME3AUS01FT004.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <maclean-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
361,contact@mags.nsw.edu.au,The email address contact@mags.nsw.edu.au is valid,"MX records:
mags-nsw-edu-au.mail.protection.outlook.com (0)
emailfilter.tasc.nsw.edu.au (10)

connected to mags-nsw-edu-au.mail.protection.outlook.com

dialog with mags-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT021.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:16:17 +0000
HELO ip-adress.com
250 ME3AUS01FT021.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <contact@mags.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
362,office@mc.nsw.edu.au,The email address office@mc.nsw.edu.au is valid,"MX records:
aspmx.l.google.com (1)
alt1.aspmx.l.google.com (5)
alt2.aspmx.l.google.com (5)
aspmx3.googlemail.com (10)
aspmx2.googlemail.com (10)

connected to aspmx.l.google.com

dialog with aspmx.l.google.com ok

220 mx.google.com ESMTP y2si21829468oiv.299 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK y2si21829468oiv.299 - gsmtp
RCPT TO: <office@mc.nsw.edu.au>
250 2.1.5 OK y2si21829468oiv.299 - gsmtp
QUIT
221 2.0.0 closing connection y2si21829468oiv.299 - gsmtp"
363,macfields-h.school@det.nsw.edu.au,The email address macfields-h.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT021.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:16:35 +0000
HELO ip-adress.com
250 SY4AUS01FT021.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <macfields-h.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
364,macfields-p.school@det.nsw.edu.au,The email address macfields-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT021.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:16:45 +0000
HELO ip-adress.com
250 SY4AUS01FT021.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <macfields-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
365,enrolments@mgs.edu.au,The email address enrolments@mgs.edu.au is valid,"MX records:
mgs-edu-au.mail.protection.outlook.com (1)

connected to mgs-edu-au.mail.protection.outlook.com

dialog with mgs-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT009.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:16:54 +0000
HELO ip-adress.com
250 ME3AUS01FT009.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <enrolments@mgs.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
366,madangave-p.school@det.nsw.edu.au,The email address madangave-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT013.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 07:17:03 +0000
HELO ip-adress.com
250 ME3AUS01FT013.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <madangave-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
367,info@mccdow.catholic.edu.au,The email address info@mccdow.catholic.edu.au is valid,"MX records:
aspmx.l.google.com (1)
alt1.aspmx.l.google.com (5)
alt2.aspmx.l.google.com (5)
aspmx2.googlemail.com (10)
aspmx3.googlemail.com (10)

connected to aspmx.l.google.com

dialog with aspmx.l.google.com ok

220 mx.google.com ESMTP q124si5784817wma.135 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK q124si5784817wma.135 - gsmtp
RCPT TO: <info@mccdow.catholic.edu.au>
250 2.1.5 OK q124si5784817wma.135 - gsmtp
QUIT
221 2.0.0 closing connection q124si5784817wma.135 - gsmtp"
368,office@maitlandcs.nsw.edu.au,The email address office@maitlandcs.nsw.edu.au is valid,"MX records:
d140970a.ess.barracudanetworks.com (0)

connected to d140970a.ess.barracudanetworks.com

dialog with d140970a.ess.barracudanetworks.com ok

220 mail.ess.barracuda.com ESMTP (mx-inbound16-246.us-east-2b.ess.aws)
HELO ip-adress.com
250 mx-inbound16-246.us-east-2b.ess.aws.cudaops.com Hello pecan.pi.activeminds.net [207.38.89.115], pleased to meet you
MAIL FROM: <noreply@ip-adress.com>
250 Sender <noreply@ip-adress.com> OK
RCPT TO: <office@maitlandcs.nsw.edu.au>
250 Recipient <office@maitlandcs.nsw.edu.au> OK
QUIT
221 mx-inbound16-246.us-east-2b.ess.aws.cudaops.com Goodbye pecan.pi.activeminds.net, closing connection"
